contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
TNSweep,NFL,150-109-4,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),LAC +2.5,LAC,+2.5,+500
TNSweep,NFL,150-109-4,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 40.5,Over,40.5,+500
simoncald,NFL,222-175-6,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),LAC +2.5,LAC,+2.5,+500
simoncald,NFL,222-175-6,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 41.0,Over,41.0,+500
Bigblue78,NFL,99-64-3,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
Bigblue78,NFL,99-64-3,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 40.5,Over,40.5,+500
quocanh1998,NFL,196-155-8,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
quocanh1998,NFL,196-155-8,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Under),Under 41.5,Under,41.5,+500
mafioso,NFL,145-109-8,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
sherriffics,NFL,212-171-6,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
BillyJack,NFL,224-181-9,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
BillyJack,NFL,224-181-9,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 40.5,Over,40.5,+500
leroyfrodus,NFL,102-72-3,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
jenjay23,NFL,220-180-8,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),LAC +2.5,LAC,+2.5,+500
jenjay23,NFL,220-180-8,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 44.0,Over,44.0,+500
TheGambler34,NFL,146-113-2,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -1.5,PHI,-1.5,+500
Fingerscrossed,NFL,216-177-7,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
Fingerscrossed,NFL,216-177-7,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Over),Over 41.5,Over,41.5,+500
cwfoot,NFL,119-89-4,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
lsbellmom,NFL,224-185-5,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),LAC +2.5,LAC,+2.5,+500
lsbellmom,NFL,224-185-5,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Under),Under 40.5,Under,40.5,+500
Joeaveragefan,NFL,124-95-2,Miami @ Pittsburgh,Miami,Pittsburgh,Spread (ATS),MIA +3.5,MIA,+3.5,+500
alayne089,NFL,125-96-3,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
alayne089,NFL,125-96-3,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Total (Under),Under 44.0,Under,44.0,+500
JL023,NFL,148-117-5,Philadelphia @ L.A. Chargers,Philadelphia,L.A. Chargers,Spread (ATS),PHI -2.5,PHI,-2.5,+500
