Count,Sport,Matchup,Pick Type,Pick
16,College Basketball,Nebraska Omaha @ ACU,Spread (ATS),AC -4.5
15,CFL,BC @ Saskatchewan,Total (Over),Over 53.5
14,College Basketball,Nebraska Omaha @ ACU,Spread (ATS),AC -3.5
12,NFL,New England @ Tampa Bay,Spread (ATS),TB -2.5
12,NFL,Buffalo @ Miami,Total (Under),Under 50.0
12,CFL,Montreal @ Hamilton,Total (Over),Over 52.5
12,CFL,BC @ Saskatchewan,Spread (ATS),SSK -3.5
11,College Basketball,UC Riverside @ North Dakota,Spread (ATS),UND -1.0
10,NFL,L.A. Rams @ San Francisco,Total (Under),Under 49.5
10,NFL,Atlanta @ Indianapolis,Total (Under),Under 48.5
9,NFL,Atlanta @ Indianapolis,Total (Over),Over 48.5
8,NFL,Pittsburgh @ L.A. Chargers,Spread (ATS),LAC -3.0
8,College Basketball,UC Riverside @ North Dakota,Spread (ATS),UND -2.5
8,CFL,Montreal @ Hamilton,Spread (ATS),MTL -2.5
8,CFL,Montreal @ Hamilton,Total (Under),Under 52.5
8,CFL,BC @ Saskatchewan,Spread (ATS),BC +3.5
7,NFL,Arizona @ Seattle,Total (Over),Over 44.5
7,NFL,Atlanta @ Indianapolis,Spread (ATS),IND -6.5
7,NFL,N.Y. Giants @ Chicago,Spread (ATS),CHI -3.5
7,NBA,Detroit @ Brooklyn,Spread (ATS),BK +10.5
7,NBA,Charlotte @ Miami,Spread (ATS),MIA -5.0
7,College Basketball,Nebraska Omaha @ ACU,Total (Under),Under 152.5
6,NFL,N.Y. Giants @ Chicago,Spread (ATS),CHI -3.0
6,NFL,Jacksonville @ Houston,Total (Over),Over 41.5
6,NFL,Cleveland @ N.Y. Jets,Spread (ATS),CLE -2.5
6,NFL,New England @ Tampa Bay,Spread (ATS),NE +2.5
6,NFL,New Orleans @ Carolina,Spread (ATS),CAR -5.5
6,NFL,Baltimore @ Minnesota,Spread (ATS),BAL -3.5
6,NBA,Chicago @ Milwaukee,Spread (ATS),MIL -4.0
6,NBA,Houston @ San Antonio,Spread (ATS),SA +2.0
6,NHL,Chicago @ Calgary,Spread (ATS),CAL -150
6,CFL,BC @ Saskatchewan,Total (Under),Under 53.5
6,CFL,Montreal @ Hamilton,Spread (ATS),MTL -1.5
5,NFL,Atlanta @ Indianapolis,Spread (ATS),IND -7.0
5,NFL,New England @ Tampa Bay,Total (Over),Over 48.0
5,NFL,Baltimore @ Minnesota,Total (Under),Under 46.5
5,NFL,Cleveland @ N.Y. Jets,Spread (ATS),NYJ -1.5
5,NFL,Jacksonville @ Houston,Spread (ATS),JAC +3.0
5,NFL,Pittsburgh @ L.A. Chargers,Total (Under),Under 46.5
5,NFL,Baltimore @ Minnesota,Spread (ATS),BAL -4.0
5,NFL,Jacksonville @ Houston,Total (Under),Under 38.0
5,NFL,New Orleans @ Carolina,Spread (ATS),NO +5.5
5,NFL,Baltimore @ Minnesota,Spread (ATS),MIN +4.0
5,NBA,Detroit @ Brooklyn,Total (Over),Over 226.5
5,NBA,Houston @ San Antonio,Total (Over),Over 226.5
5,NBA,Golden State @ Denver,Spread (ATS),GS +5.5
5,NBA,Oklahoma City @ Sacramento,Spread (ATS),OKC -8.5
5,NBA,Oklahoma City @ Sacramento,Total (Over),Over 227.0
5,NBA,Golden State @ Denver,Spread (ATS),DEN -5.5
5,College Football,Northwestern @ USC,Spread (ATS),USC -14.5
5,College Football,Tulane @ Memphis,Spread (ATS),MEM -3.5
5,College Football,Houston @ UCF,Total (Over),Over 47.5
5,College Football,Northwestern @ USC,Spread (ATS),NW +14.5
5,College Basketball,UC Riverside @ North Dakota,Total (Under),Under 150.5
5,College Basketball,Nebraska Omaha @ ACU,Total (Over),Over 152.5
5,College Basketball,Nebraska Omaha @ ACU,Total (Under),Under 151.0
5,College Basketball,UC Riverside @ North Dakota,Total (Under),Under 146.5
5,College Basketball,Nebraska Omaha @ ACU,Total (Over),Over 151.0
5,CFL,Montreal @ Hamilton,Spread (ATS),HAM +2.5
4,NFL,N.Y. Giants @ Chicago,Total (Under),Under 46.5
4,NFL,Buffalo @ Miami,Spread (ATS),MIA +8.5
4,NFL,New Orleans @ Carolina,Spread (ATS),CAR -3.5
4,NFL,Arizona @ Seattle,Spread (ATS),SEA -6.0
4,NFL,Detroit @ Washington,Total (Over),Over 51.5
4,NFL,New England @ Tampa Bay,Total (Over),Over 48.5
4,NFL,New Orleans @ Carolina,Total (Under),Under 39.5
4,NFL,Jacksonville @ Houston,Spread (ATS),HOU -1.5
4,NFL,Buffalo @ Miami,Spread (ATS),BUF -9.5
4,NFL,Arizona @ Seattle,Spread (ATS),SEA -6.5
4,NFL,Detroit @ Washington,Total (Under),Under 49.5
4,NFL,Pittsburgh @ L.A. Chargers,Total (Under),Under 45.0
4,NFL,L.A. Rams @ San Francisco,Total (Over),Over 48.5
4,NFL,Detroit @ Washington,Total (Over),Over 49.5
4,NFL,Cleveland @ N.Y. Jets,Spread (ATS),NYJ -2.0
4,NBA,Boston @ Orlando,Spread (ATS),BOS +3.5
4,NBA,Cleveland @ Washington,Spread (ATS),CLE -12.5
4,NBA,Houston @ San Antonio,Spread (ATS),SA +2.5
4,NBA,Utah @ Minnesota,Total (Over),Over 230.0
4,NBA,Chicago @ Milwaukee,Spread (ATS),CHI +4.5
4,NBA,Toronto @ Atlanta,Spread (ATS),ATL +2.0
4,NBA,Oklahoma City @ Sacramento,Spread (ATS),SAC +8.5
4,NHL,Minnesota @ NY Islanders,Spread (ATS),NYI -135
4,NHL,Chicago @ Calgary,Total (Over),Over 6.0
4,NHL,Winnipeg @ San Jose,Spread (ATS),WIN -200
4,NHL,NY Rangers @ Detroit,Spread (ATS),DET -110
4,NHL,NY Rangers @ Detroit,Total (Over),Over 5.5
4,NHL,Minnesota @ NY Islanders,Spread (ATS),NYI -120
4,NHL,NY Rangers @ Detroit,Spread (ATS),NYR -110
4,College Football,Houston @ UCF,Spread (ATS),HOU -1.0
4,College Basketball,Nebraska Omaha @ ACU,Spread (ATS),NEOM +4.5
3,NFL,Baltimore @ Minnesota,Spread (ATS),MIN +3.5
3,NFL,Cleveland @ N.Y. Jets,Total (Over),Over 38.5
3,NFL,Detroit @ Washington,Spread (ATS),WAS +3.5
3,NFL,Detroit @ Washington,Spread (ATS),DET -8.5
3,NFL,L.A. Rams @ San Francisco,Spread (ATS),LA -4.5
3,NFL,Arizona @ Seattle,Spread (ATS),SEA -7.0
3,NFL,Jacksonville @ Houston,Spread (ATS),HOU -3.0
3,NFL,Baltimore @ Minnesota,Total (Over),Over 46.5
3,NFL,L.A. Rams @ San Francisco,Spread (ATS),SF +3.0
3,NFL,Pittsburgh @ L.A. Chargers,Spread (ATS),LAC -4.5
3,NFL,Jacksonville @ Houston,Total (Over),Over 38.0
3,NFL,Baltimore @ Minnesota,Total (Under),Under 48.0
3,NFL,Arizona @ Seattle,Spread (ATS),ARI +6.5
3,NFL,Arizona @ Seattle,Total (Under),Under 45.0
3,NFL,Arizona @ Seattle,Total (Over),Over 45.5
3,NFL,L.A. Rams @ San Francisco,Spread (ATS),LA -3.5
3,NFL,N.Y. Giants @ Chicago,Spread (ATS),NYG +4.5
3,NFL,Detroit @ Washington,Spread (ATS),DET -8.0
3,NFL,Pittsburgh @ L.A. Chargers,Spread (ATS),PIT +3.0
3,NFL,Detroit @ Washington,Spread (ATS),DET -7.5
3,NFL,Atlanta @ Indianapolis,Spread (ATS),ATL +5.5
3,NFL,Cleveland @ N.Y. Jets,Total (Under),Under 37.0
3,NFL,N.Y. Giants @ Chicago,Total (Over),Over 47.0
3,NBA,Boston @ Orlando,Total (Over),Over 226.5
3,NBA,Houston @ San Antonio,Total (Over),Over 223.5
3,NBA,Dallas @ Memphis,Spread (ATS),MEM -3.5
3,NBA,Golden State @ Denver,Total (Over),Over 227.5
3,NBA,Oklahoma City @ Sacramento,Total (Over),Over 227.5
3,NBA,Toronto @ Atlanta,Spread (ATS),TOR -2.0
3,NBA,Toronto @ Atlanta,Total (Under),Under 234.5
3,NBA,Oklahoma City @ Sacramento,Spread (ATS),OKC -10.5
3,NBA,Houston @ San Antonio,Spread (ATS),HOU -2.0
3,NBA,Toronto @ Atlanta,Total (Over),Over 234.5
3,NBA,Golden State @ Denver,Total (Over),Over 236.0
3,NBA,Boston @ Orlando,Spread (ATS),ORL -3.5
3,NHL,Minnesota @ NY Islanders,Total (Over),Over 5.5
3,College Football,Northwestern @ USC,Total (Under),Under 50.5
3,College Football,Northwestern @ USC,Total (Over),Over 50.5
3,College Football,Tulane @ Memphis,Spread (ATS),MEM -6.5
3,College Football,Tulane @ Memphis,Total (Over),Over 55.5
3,College Football,Tulane @ Memphis,Spread (ATS),MEM -5.0
3,College Basketball,UC Riverside @ North Dakota,Total (Over),Over 146.5
3,College Basketball,UC Riverside @ North Dakota,Spread (ATS),UCRV +2.5
3,College Basketball,UC Riverside @ North Dakota,Spread (ATS),UCRV -1.0
3,College Basketball,UC Riverside @ North Dakota,Spread (ATS),UCRV +1.0
3,CFL,BC @ Saskatchewan,Spread (ATS),SSK -3.0
2,NFL,Buffalo @ Miami,Total (Over),Over 49.5
2,NFL,L.A. Rams @ San Francisco,Spread (ATS),LA -3.0
2,NFL,L.A. Rams @ San Francisco,Total (Under),Under 48.5
2,NFL,Baltimore @ Minnesota,Total (Over),Over 49.0
2,NFL,Arizona @ Seattle,Total (Over),Over 45.0
2,NFL,N.Y. Giants @ Chicago,Total (Over),Over 46.5
2,NFL,Detroit @ Washington,Total (Over),Over 49.0
2,NFL,Pittsburgh @ L.A. Chargers,Total (Over),Over 46.5
2,NFL,Cleveland @ N.Y. Jets,Total (Over),Over 37.5
2,NFL,N.Y. Giants @ Chicago,Total (Under),Under 47.5
2,NFL,Buffalo @ Miami,Spread (ATS),MIA +9.5
2,NFL,Detroit @ Washington,Spread (ATS),WAS +9.0
2,NFL,Pittsburgh @ L.A. Chargers,Total (Over),Over 45.0
2,NFL,New Orleans @ Carolina,Total (Over),Over 41.5
2,NFL,Atlanta @ Indianapolis,Spread (ATS),IND -6.0
2,NFL,Jacksonville @ Houston,Spread (ATS),HOU -1.0
