Count,Sport,Matchup,Pick Type,Pick
21,College Football,Pittsburgh @ Georgia Tech,Spread (ATS),GT -2.5
20,College Football,Delaware @ Wake Forest,Spread (ATS),WAKE -17.5
17,NFL,Indianapolis @ Kansas City,Spread (ATS),KC -3.0
15,NFL,Pittsburgh @ Chicago,Spread (ATS),CHI -2.5
15,NFL,Tampa Bay @ L.A. Rams,Total (Under),Under 49.5
14,NFL,N.Y. Jets @ Baltimore,Spread (ATS),BAL -13.5
12,NFL,N.Y. Jets @ Baltimore,Total (Over),Over 44.5
12,NHL,Boston @ San Jose,Spread (ATS),SJ +115
12,College Football,Marshall @ App State,Spread (ATS),MRSH -5.0
11,NFL,Jacksonville @ Arizona,Total (Under),Under 47.5
11,NFL,Atlanta @ New Orleans,Spread (ATS),NO -1.5
11,NFL,Cleveland @ Las Vegas,Spread (ATS),LV -3.5
11,NFL,Philadelphia @ Dallas,Total (Over),Over 47.5
11,NBA,L.A. Lakers @ Utah,Spread (ATS),LAL -9.5
11,College Football,Rutgers @ Ohio State,Spread (ATS),OSU -31.5
11,College Football,Charlotte @ Georgia,Total (Over),Over 53.5
11,College Football,Charlotte @ Georgia,Spread (ATS),UGA -43.5
11,College Football,TCU @ Houston,Spread (ATS),HOU -1.0
10,NFL,N.Y. Giants @ Detroit,Spread (ATS),DET -10.0
10,NHL,Minnesota @ Winnipeg,Spread (ATS),WIN -130
10,College Football,Liberty @ Louisiana Tech,Spread (ATS),LT -1.0
9,NFL,Tampa Bay @ L.A. Rams,Spread (ATS),TB +6.5
9,NBA,Miami @ Philadelphia,Spread (ATS),MIA +1.0
9,NBA,Brooklyn @ Toronto,Spread (ATS),TOR -12.5
9,College Football,Louisville @ SMU,Spread (ATS),SMU -2.5
9,College Football,Michigan State @ Iowa,Total (Under),Under 42.5
8,NFL,Seattle @ Tennessee,Total (Over),Over 40.0
8,NFL,Jacksonville @ Arizona,Total (Over),Over 47.5
8,NFL,N.Y. Jets @ Baltimore,Total (Under),Under 44.5
8,NFL,Seattle @ Tennessee,Spread (ATS),SEA -13.0
8,NBA,Orlando @ Boston,Spread (ATS),ORL +4.5
8,NBA,Portland @ Oklahoma City,Spread (ATS),POR +15.5
8,NBA,Charlotte @ Atlanta,Spread (ATS),ATL -7.0
8,NHL,Colorado @ Chicago,Spread (ATS),CHI +200
8,College Football,Georgia State @ Troy,Total (Over),Over 51.0
8,College Football,Missouri @ Oklahoma,Spread (ATS),OKLA -5.5
7,NFL,Minnesota @ Green Bay,Total (Over),Over 41.5
7,NFL,Atlanta @ New Orleans,Spread (ATS),ATL +2.0
7,NFL,Pittsburgh @ Chicago,Spread (ATS),PIT +2.5
7,NFL,Philadelphia @ Dallas,Total (Under),Under 47.5
7,NFL,Atlanta @ New Orleans,Total (Over),Over 39.5
7,NFL,Tampa Bay @ L.A. Rams,Total (Over),Over 49.5
7,NHL,Carolina @ Buffalo,Total (Under),Under 6.5
7,NHL,Minnesota @ Winnipeg,Spread (ATS),MIN +110
7,NHL,Carolina @ Buffalo,Total (Over),Over 6.5
7,NHL,Minnesota @ Winnipeg,Total (Under),Under 6.0
7,College Football,Missouri @ Oklahoma,Total (Over),Over 42.5
7,College Football,Michigan State @ Iowa,Spread (ATS),IOWA -17.0
7,College Football,TCU @ Houston,Total (Over),Over 55.0
7,College Football,TCU @ Houston,Spread (ATS),TCU +1.0
7,College Football,Georgia State @ Troy,Spread (ATS),TROY -10.0
7,College Football,Missouri @ Oklahoma,Total (Under),Under 42.5
7,College Football,Pittsburgh @ Georgia Tech,Spread (ATS),PITT +2.5
6,NFL,Indianapolis @ Kansas City,Spread (ATS),IND +3.0
6,NFL,N.Y. Giants @ Detroit,Spread (ATS),DET -13.0
6,NFL,Cleveland @ Las Vegas,Total (Over),Over 35.5
